name,category,types,label,description
lowercase,case,[string],To lower case,Converts all of the cell values in this column to lower case
uppercase,case,[string],To upper case,Converts all of the cell values in this column to upper case
propercase,case,[string],To title case,Converts all of the cell values in this column to title case (i.e. "data prep" -> "Data Prep") 
fillemptywithdefault,quickfix,[string],Fill empty with value,Fill empty cells of this column with given value
trim,quickfix,[string],Remove trailing and leading spaces,Remove trailing and leading spaces
cut,quickfix,[string],Cut,Remove specified text from cells in this column
fillemptywithdefaultboolean,quickfix,[boolean],Fill empty with value,Fill empty cells of this column with given value
fillemptywithdefaultinteger,quickfix,[integer],Fill empty with value,Fill empty cells of this column with given value
delete_empty,cleansing,[any],Delete empty,Delete rows that have this cell empty
delete_on_value,cleansing,[string],Delete match,Delete rows that have a specific value in cell in this column
absolute_int,math,[integer],Absolute value,Compute the absolute value for all numeric values of this column.
absolute_float,math,[float],Absolute value,Compute the absolute value for all numeric values of this column.
negate,boolean,[boolean],Negate,Reverse the boolean value of cells in this column
