Ville;Département;Region;2012-13
Paris;Paris;Île-de-France;2240621
Marseille;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;852516
Lyon;Métropole de Lyon;Rhône-Alpes;496343
Toulouse;Haute-Garonne;Midi-Pyrénées;453317
Nice;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;343629
Nantes;Loire-Atlantique;Pays de la Loire;291604
Strasbourg;Bas-Rhin;Alsace;274394
Montpellier;Hérault;Languedoc-Roussillon;268456
Bordeaux;Gironde;Aquitaine;241287
Lille14;Nord;Nord-Pas-de-Calais;228652
Rennes;Ille-et-Vilaine;Bretagne;209860
Reims;Marne;Champagne-Ardenne;181893
Le Havre;Seine-Maritime;Haute-Normandie;173142
Saint-Étienne;Loire;Rhône-Alpes;171483
Toulon;Var;Provence-Alpes-Côte d'Azur;164899
Grenoble;Isère;Rhône-Alpes;158346
Dijon;Côte-d'Or;Bourgogne;152071
Angers;Maine-et-Loire;Pays de la Loire;149017
Nîmes;Gard;Languedoc-Roussillon;146709
Villeurbanne;Métropole de Lyon;Rhône-Alpes;146282
Saint-Denis;La Réunion;La Réunion;145238
Le Mans;Sarthe;Pays de la Loire;143599
Clermont-Ferrand;Puy-de-Dôme;Auvergne;141569
Aix-en-Provence;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;141148
Brest;Finistère;Bretagne;139676
Limoges;Haute-Vienne;Limousin;136221
Tours;Indre-et-Loire;Centre-Val de Loire;134978
Amiens;Somme;Picardie;132727
Perpignan;Pyrénées-Orientales;Languedoc-Roussillon;120489
Metz;Moselle;Lorraine;119551
Boulogne-Billancourt;Hauts-de-Seine;Île-de-France;117126
Besançon;Doubs;Franche-Comté;116353
Orléans;Loiret;Centre-Val de Loire;114286
Rouen;Seine-Maritime;Haute-Normandie;111557
Mulhouse;Haut-Rhin;Alsace;110755
Caen;Calvados;Basse-Normandie;108365
Saint-Denis;Seine-Saint-Denis;Île-de-France;108274
Nancy;Meurthe-et-Moselle;Lorraine;105067
Argenteuil;Val-d'Oise;Île-de-France;104962
Saint-Paul;La Réunion;La Réunion;104646
Montreuil;Seine-Saint-Denis;Île-de-France;103520
Roubaix;Nord;Nord-Pas-de-Calais;94536
Tourcoing;Nord;Nord-Pas-de-Calais;92707
Dunkerque15;Nord;Nord-Pas-de-Calais;90995
Nanterre;Hauts-de-Seine;Île-de-France;90722
Créteil;Val-de-Marne;Île-de-France;89845
